Subject,Day,Task,Trial,RMS_mean,RMS_std,Env_mean,BurstDur_mean_s,PeakFreq_mean_Hz,CoContrIndex,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,CoContr_FlexExt,CoContr_BicTri,RMS_extractor,MNF,MDF,PKF,IEMG,VAR
PT_09,5,Tapes_standing,2,217.7693628675292,61.83399718644837,203.29466168127814,48.102304687499995,0.7794189453125,0.8365940904237604,200.2247783105046,212.77985959680285,195.16763540463992,281.7876040199275,238.35541052190416,0.8365940904237604,0.7491693793758664,217.7693628675292,1.146436975393983,0.9829998016357422,0.6680488586425781,24354700.469417125,6769.051066901026
PT_09,5,Tapes_standing,3,224.33976139269092,66.1535824211092,210.58794748254846,53.3352109375,1.060791015625,0.7688719220013165,186.01547951341874,238.23326821997767,199.12169402771585,289.1551988591062,252.32066884070554,0.7688719220013165,0.7306019722723897,224.33976139269092,1.1762121411896824,1.0256767272949219,0.5476474761962891,25270553.697905816,6855.812147700903
PT_09,5,Tapes_standing,4,224.3796062133658,66.66431670409995,209.38298867809272,50.170382812499994,1.251220703125,0.8359566244012301,204.0513457899829,220.24017745184187,199.94045621869193,289.8739431022145,250.59629498256848,0.8359566244012301,0.7447329701537387,224.3796062133658,1.176957800344271,1.0342597961425781,0.9012222290039062,25125958.641371123,7455.350963698413
PT_09,5,Tapes_standing,5,225.51887434401988,67.05140438889775,208.23359663432296,45.007312500000005,1.1151123046875,0.8274972821134999,202.0852407583814,221.52954138979933,200.59883180082917,296.3678675446859,253.75161967282284,0.8274972821134999,0.7351177807681301,225.51887434401988,1.0416459151570612,0.8368492126464844,0.7722377777099609,24988031.59611876,8515.145068686197
PT_09,5,Tapes_cog_load,1,207.44320335138985,53.17673582616407,193.02779989523924,45.3053984375,1.04248046875,0.8000045988876517,182.68098644894204,218.69148436913875,178.66145005155,252.40767788615426,236.0577145069577,0.8000045988876517,0.7350441988946751,207.44320335138985,1.1223634769834097,0.9605884552001953,0.9624958038330078,23163335.98742871,6411.127362069642
PT_09,5,Tapes_cog_load,2,222.568917530977,67.99561200440827,205.64539714911018,48.0588671875,1.0870361328125,0.7816496138095665,187.73531710214579,235.56685758216113,192.65026509059703,275.43571822454504,263.7103313476848,0.7816496138095665,0.7292469953552444,222.568917530977,1.0926769515309134,0.9262561798095703,0.7793903350830078,24677447.657893226,8487.788579108463
PT_09,5,Tapes_cog_load,3,212.74406473457935,56.127238687365676,197.8657455401153,47.9385859375,0.8709716796875,0.8164401609254084,188.60457941044123,220.6527189727841,182.6372948180448,259.31417173028717,247.8534825570237,0.8164401609254084,0.7289863412291252,212.74406473457935,1.1992795061183354,1.0750293731689453,0.6937980651855469,23743889.464813836,6944.6041952656215
PT_09,5,Tapes_cog_load,4,207.3990485605515,55.21450378705275,191.94871602047286,48.609914062499996,1.09130859375,0.8206455654256355,181.11138995910235,216.08202246300417,177.759258666796,262.0095477677471,236.8587747667313,0.8206455654256355,0.7381009517388538,207.3990485605515,1.1200550945711183,0.9262561798095703,0.6160736083984375,23033845.922456745,7045.756583664724
PT_09,5,Tapes_cog_load,5,220.46846270147566,55.03303554101648,204.13729902013017,44.9736953125,0.980224609375,0.8130293989105023,199.65196997223217,226.43934540817213,188.91539579053145,268.39684371011583,253.27230460998257,0.8130293989105023,0.7367102525610866,220.46846270147566,1.1166555485291525,0.9610652923583984,0.4410743713378906,24496475.882415615,7742.238344749967
PT_10,1,Tapes,1,185.23189916404783,69.31765379606583,175.2293522525848,53.801125,0.1220703125,0.6897756249788035,150.2173110373966,198.5612489313367,196.08467163576793,233.3703544212711,169.60607150780967,0.6897756249788035,0.8328446031421148,185.23189916404783,0.6402323337884271,0.2803802490234375,0.030040740966796875,21027522.270310175,4182.9562923682715
