Subject,Day,Task,Trial,RMS_mean,MNF_mean,MDF_mean,PKF_mean,IEMG_mean,VAR_mean,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,MDF_flexors,MDF_extensors,MDF_bicep,MDF_lat_tri,MDF_long_tri,CoContr_FlexExt,CoContr_BicTri
PT_07,3,Tapes_standing,3,216.77975883911805,91.24141628772051,205.77778355492362,57.579515625,0.169677734375,0.7948255399629064,190.3690409253405,192.88924827543934,209.7065069512337,297.4286292264421,259.91853035789705,0.7948255399629064,0.7294117185327887,284.37671305322476,96.80651998044556,75.9739875793457,37.49966621398926,24735262.54544186,94411.69211721886
PT_07,3,Tapes_standing,4,201.14913049830855,89.34996223574062,191.125406753595,58.139523437499996,0.4486083984375,0.7498744064887082,160.60539935610356,193.81830944989306,171.9079792264362,274.18311566811184,279.69461466520966,0.7498744064887082,0.6240860458527279,263.5741774127064,93.38786016037865,72.45874404907227,40.23551940917969,22970259.630627893,82408.5912385637
PT_07,3,Tapes_standing,5,207.66581014956373,90.55204250071515,198.14790012274423,58.5924609375,0.60546875,0.7735740587908029,174.14835005297792,190.85804583661695,192.37911800052154,287.8418025232538,263.65161092088533,0.7735740587908029,0.6865664333367554,271.4933630328303,95.80912742930015,74.5079517364502,46.1125373840332,23784275.905995693,87129.48824587118
PT_07,3,Tapes_cog_load,1,153.11950979296523,62.19730986127641,144.2207510496342,55.238468749999996,0.128173828125,0.74360410984601,140.8530699331062,138.6531311416914,130.94486716009217,214.51322431998096,185.1366008653078,0.74360410984601,0.6467596513478229,201.93897376239067,93.93487062593353,73.00496101379395,45.919179916381836,17332883.91847212,47355.42083376199
PT_07,3,Tapes_cog_load,2,169.00839406065268,68.02185141267678,161.35957393660013,58.5245078125,0.2301025390625,0.7653864843230367,140.39390731583458,162.58182664263938,139.07701923490174,225.8997773541551,235.8564448721471,0.7653864843230367,0.6004994229234517,223.3969380718416,92.37948424318286,71.87604904174805,38.04373741149902,19411879.946533725,57543.24768755541
PT_07,3,Tapes_cog_load,3,162.30426794825144,71.49603372276924,154.15055645922536,58.41710937500001,0.3912353515625,0.7471772600759791,130.10522083473634,159.3069803821526,128.23614230806504,220.90632064469244,233.99615674122123,0.7471772600759791,0.5598870133280587,213.52502453853887,91.52943656393272,70.6477165222168,39.17360305786133,18517918.147039264,54038.04490917721
PT_07,3,Tapes_cog_load,4,157.5912198325901,66.08846741475709,149.089469332774,56.5175625,0.0714111328125,0.7643519337955591,134.69892152571188,138.77535214926627,129.67183176490607,218.41199813342197,232.49289711123873,0.7643519337955591,0.5766344138431386,207.46538804814747,93.28312857435537,72.61514663696289,36.130428314208984,17925876.872853994,50287.039936288755
PT_07,3,Tapes_cog_load,5,139.30498832977403,65.42614529173059,131.58221491408273,55.4573125,0.4302978515625,0.7412785358645871,114.95177216399027,132.65138246608092,109.62547399743704,199.858174718033,193.03642300634334,0.7412785358645871,0.5657485985739864,182.8680819912879,88.0892359207025,67.52920150756836,36.672115325927734,15821393.30979285,40435.202705677264
PT_07,4,Tapes,1,200.80249591831267,81.65523121226931,190.22647654338274,56.753601562499995,0.576171875,0.7459870248414288,179.26724828657908,177.77882711384268,187.62369564725563,266.3158414636826,255.3149127609863,0.7459870248414288,0.7097855072365671,263.7732985489453,94.64525163614235,74.2955207824707,44.21377182006836,22904026.096615564,80621.66363025647
PT_07,4,Tapes,2,214.08656696789225,86.51565502874075,202.049379727029,54.633296875,0.5023193359375,0.7095710792817418,182.011237946271,197.48952419324758,192.61184489496517,287.399720196957,282.4983333898165,0.7095710792817418,0.674510836816927,281.65934327619357,93.46222643145305,74.40066337585449,44.423818588256836,24299179.22598525,91780.46731841308
PT_07,4,Tapes,3,178.389636601333,73.08120515732345,167.2920271429776,54.485742187499994,0.28076171875,0.7253469353589308,153.80189333335514,160.9052734127176,165.6633060996663,243.6667964186608,226.86421206383991,0.7253469353589308,0.6842306623554856,234.32360713241707,93.37625046633792,73.15826416015625,38.15054893493652,20117850.46971746,63811.917637873164
